sim,i,j,fonte_i,fonte_j,dia_i,dia_j,titulo_i,titulo_j
1.0,537,838,Estadão,Guarulhos Web,2020-09-03,2020-09-03,Amazon anuncia o quinto centro de distribuição no Brasil,Amazon anuncia o quinto centro de distribuição no Brasil
1.0,537,1804,Estadão,Diário do Grande ABC,2020-09-03,2020-09-03,Amazon anuncia o quinto centro de distribuição no Brasil,Amazon anuncia o quinto centro de distribuição no Brasil
0.9991083741188049,537,2029,Estadão,A Tribuna,2020-09-03,2020-09-03,Amazon anuncia o quinto centro de distribuição no Brasil,Amazon anuncia o quinto centro de distribuição no Brasil
1.0,838,1804,Guarulhos Web,Diário do Grande ABC,2020-09-03,2020-09-03,Amazon anuncia o quinto centro de distribuição no Brasil,Amazon anuncia o quinto centro de distribuição no Brasil
0.9991083741188049,838,2029,Guarulhos Web,A Tribuna,2020-09-03,2020-09-03,Amazon anuncia o quinto centro de distribuição no Brasil,Amazon anuncia o quinto centro de distribuição no Brasil
0.9991083741188049,1804,2029,Diário do Grande ABC,A Tribuna,2020-09-03,2020-09-03,Amazon anuncia o quinto centro de distribuição no Brasil,Amazon anuncia o quinto centro de distribuição no Brasil
0.9319831132888794,754,2028,Folha de S. Paulo,Folha da Região,2019-08-12,2019-08-12,"Walmart muda de nome no Brasil e prevê investimento de R$1,2 bi","Walmart muda de nome para Grupo Big e traz programa investimentos de R$ 1,2 bi"
0.9334810972213745,754,2121,Folha de S. Paulo,Folha de S. Paulo,2019-08-12,2019-10-23,"Walmart muda de nome no Brasil e prevê investimento de R$1,2 bi",Rede de supermercados Walmart no Brasil mudará de nome para Big
0.9663205146789551,754,2704,Folha de S. Paulo,Cruzeiro do Sul,2019-08-12,2019-08-12,"Walmart muda de nome no Brasil e prevê investimento de R$1,2 bi","Walmart muda nome no Brasil para Big e fará investimentos de R$ 1,2 bi"
0.9063929319381714,2028,2121,Folha da Região,Folha de S. Paulo,2019-08-12,2019-10-23,"Walmart muda de nome para Grupo Big e traz programa investimentos de R$ 1,2 bi",Rede de supermercados Walmart no Brasil mudará de nome para Big
0.9757364988327026,2028,2704,Folha da Região,Cruzeiro do Sul,2019-08-12,2019-08-12,"Walmart muda de nome para Grupo Big e traz programa investimentos de R$ 1,2 bi","Walmart muda nome no Brasil para Big e fará investimentos de R$ 1,2 bi"
0.92997145652771,2121,2704,Folha de S. Paulo,Cruzeiro do Sul,2019-10-23,2019-08-12,Rede de supermercados Walmart no Brasil mudará de nome para Big,"Walmart muda nome no Brasil para Big e fará investimentos de R$ 1,2 bi"
0.8856760263442993,98,2216,Diário do Grande ABC,Diário do Grande ABC - Impresso - Flip,2021-08-30,2019-07-22,Ecovias faz manutenção em todas as rodovias do SAI,Página impresso 10 (22/07/2019) - Fonte: Diário do Grande ABC
0.9408928155899048,98,2508,Diário do Grande ABC,Diário do Grande ABC,2021-08-30,2021-07-12,Ecovias faz manutenção em todas as rodovias do SAI,Sistema Anchieta-Imigrantes recebe obras e serviços de manutenção
0.8882802724838257,2216,2508,Diário do Grande ABC - Impresso - Flip,Diário do Grande ABC,2019-07-22,2021-07-12,Página impresso 10 (22/07/2019) - Fonte: Diário do Grande ABC,Sistema Anchieta-Imigrantes recebe obras e serviços de manutenção
0.933738112449646,105,939,DCI Online,DCI Online,2017-04-25,2017-10-11,"Outorga a ser paga pela Arteris no lote Rodovias dos Calçados é de R$ 1,438 bi","Arteris deposita 1ª parcela de R$ 1,2 bi de outorga para rodovia dos Calçados"
