origem,seguidor,peso
DCI Online,Jornal da Cidade de Bauru - JCNET,2
Folha de S. Paulo,Folha da Região,2
Valor Econômico - Impresso,DCI Online,2
Valor Econômico - Impresso - Flip,Valor Econômico,2
Estadão,Jornal da Cidade de Bauru - JCNET,2
Valor Econômico,DCI Online,1
Cruzeiro do Sul,Correio Popular,1
Folha de S. Paulo,Valor Econômico,1
Folha de S. Paulo,Guarulhos Web,1
Folha de S. Paulo,Diário da Região/São José do Rio Preto,1
Valor Econômico,Portal CanaOnline,1
Diário do Grande ABC - Impresso - Flip,Diário do Grande ABC,1
Diário do Comércio,Correio Popular,1
Valor Econômico - Impresso,Estadão,1
Valor Econômico,Jornal Cana,1
Estadão,Folha da Região,1
Valor Econômico,Estadão,1
Estadão,Valor Econômico,1
Valor Econômico - Impresso,Valor Econômico,1
DCI Online,Valor Econômico,1
Folha de S. Paulo,Jornal da Cidade de Bauru - JCNET,1
Valor Econômico,Diário de Sorocaba,1
Diário da Região/São José do Rio Preto,Todo Dia,1
DCI Online,Correio Popular - Impresso - Flip,1
Jornal Cana,A Tribuna,1
Valor Econômico - Impresso,Valor Econômico - Impresso - Flip,1
Diário de Sorocaba,Cruzeiro do Sul,1
Diário do Grande ABC,Cruzeiro do Sul,1
Valor Econômico - Impresso - Flip,Diário do Grande ABC - Impresso - Flip,1
DCI Online,Estadão,1
Diário do Grande ABC,Diário do Grande ABC - Impresso - Flip,1
Folha de S. Paulo,Diário do Grande ABC,1
Estadão,DCI Online,1
Diário do Grande ABC,Jornal de Jundiaí,1
Diário do Grande ABC,Correio Popular,1
A Tribuna,Folha de S. Paulo,1
A Tribuna,Cruzeiro do Sul,1
Cruzeiro do Sul,Estadão,1
Estadão,Guarulhos Web,1
Correio Popular,Diário do Grande ABC,1
Diário do Grande ABC,DCI Online,1
Valor Econômico - Impresso,A Tribuna,1
Jornal de Jundiaí,Jornal de Jundiaí - Impresso - Flip,1
DCI Online,Folha de S. Paulo,1
Estadão,Jornal do Carro,1
