topico,noticias,fontes,palavras
11,292,34,"porto santos, metrô, cptm, trecho, lilás, concessionária, trens, brt"
13,258,33,"estac, seg sáb, tel seg, sáb dom, seg, sáb, livraria, lojas incluindo"
17,247,27,"nestlé, oxxo, scania, ovos, soja, regenerativa, milhões toneladas, fertilizantes"
12,198,32,"drinques, bar, coquetéis, molho, chef, negroni, bartender, delivery"
2,198,29,"toyota, honda, ford, montadora, volkswagen, sedã, corolla, benz"
10,196,34,"lençóis, macatuba, lençóis paulista, intimação, sesi, tenda, tarraf, muros"
19,164,22,"hering, livrarias, livraria, outlets, marketplace, livros, shopping virtual, lojas físicas"
18,157,24,"fintechs, sky, corretora, iot, stix, easynvest, inovabra, datacenters"
16,151,29,"sesc, cine, teatro, sesc mogi, sicredi, espetáculos, artistas, sicoob"
21,139,17,"scania, advent, carrefour, assaí, órama, gpa, via varejo, nba"
9,131,32,"hospital, pacientes, maternidade, câncer, uti, cirurgia, radioterapia, oncologia"
15,125,25,"informações endereço, dublado, valor informado, rádio eldorado, blogs colunas, cultura mail, elvis, broadcast político"
24,103,25,"biometano, etanol, biogás, raízen, solventes, lodo, edp, etanol segunda"
5,75,25,"ter sede, temer, mountain bike, havan, sesc, vereador, mountain, pmdb"
4,74,22,"congonhas, aeroporto, aeronaves, voa, aena, infraero, aviação, gripen"
20,73,12,"gympass, nubank, loft, fintech, tok stok, plug and, and play, carlyle"
22,69,16,"edp, enel, eletropaulo, energisa, deságio, edp brasil, leilão transmissão, setas"
1,68,22,"sabesp, esgoto, saneamento, saae, dae, tratamento esgoto, companhia saneamento, sabesp companhia"
23,52,16,"canadian, canadian solar, solares, usina, geração distribuída, energia solar, solar, fotovoltaica"
8,51,18,"butantan, vacina, vacinas, sabin, coronavac, sorvete, fleury, clínicos"
7,41,15,"hotel, hotels, ibis, accor, resort, hóspedes, budget, hotéis"
3,41,12,"vela, bicicletas, yellow, turbi, cabify, patinetes, bike, didi"
6,34,14,"hot beach, beach, parque aquático, hot, aquático, thermas, laranjais, thermas laranjais"
14,34,11,"carrefour, atacadão, prioux, mcdonalds, burger king, burger, carrefour brasil, hipermercados"
0,29,14,"maple bear, bear, colégios, maple, colégio, escola, ensino distância, palmares"
